n_profile	Patient_ID	Time	Proliferation	Apoptosis	DNA_Repair	Invasion	Metastasis	Migration
0	VCaP	49.9	0.492606	0.003	0.0606	0.815834	0	0.0012
1	LNCaP-Clone-FGC	49.9	0.593228	0	0	1	0	0.005
2	DU-145	49.9	0.081473	0.038498	0.123605	0.133663	0	0.0036
3	22RV1	49.9	0.450837	0	0.1794	1	0	0.019713
4	PC-3	49.9	0.094263	0.123946	0.101179	0.478985	0	0.059929
5	PWR-1E	49.9	0.187048	0.203648	0.120802	0.514009	0	0.367823
6	BPH-1	49.9	0.292238	0.074308	0.155017	0.305644	0	0.033426
7	WT	49.8	0.209681	0.3672	0.018122	0.778934	0	0.428298
8	NCI-H660	49.9	0.058744	0.044438	0.1754	0.457681	0	0.014041
