GeneID,GeneName,p-value,log2FC
ENSG00000006210,CX3CL1,0.027048487,2.9
ENSG00000006282,SPATA20,0.01663633,0.9
ENSG00000006283,CACNA1G,0.012264439,1.3
ENSG00000006327,TNFRSF12A,0.305546987,0.4
ENSG00000006377,DLX6,1,0.2
ENSG00000006432,MAP3K9,6.47e-11,5.7
ENSG00000006451,RALA,0.876185222,0.1
ENSG00000006453,BAIAP2L1,0.713563386,0.2
ENSG00000006459,KDM7A,0.853730371,-0.1
ENSG00000006468,ETV1,0.266349422,-0.6
ENSG00000006530,AGK,0.000304146,-0.7
ENSG00000006534,ALDH3B1,0.031659574,0.6
ENSG00000006555,TTC22,1,0
ENSG00000006576,PHTF2,0.000640194,-1
ENSG00000006606,CCL26,0.830047231,-0.2
ENSG00000006607,FARP2,0.000882561,-0.9
ENSG00000006611,USH1C,1,0
ENSG00000006625,GGCT,3.48e-06,-1.3
ENSG00000006634,DBF4,0.002644844,-1.2
ENSG00000006638,TBXA2R,0.011953315,1.6
ENSG00000006652,IFRD1,0.803487765,0.1
ENSG00000006659,LGALS14,1,0
ENSG00000006695,COX10,0.349059616,-0.4
ENSG00000006704,GTF2IRD1,0.916619274,-0.1
ENSG00000006712,PAF1,0.006304144,-0.6
ENSG00000006715,VPS41,0.592173144,0.2
ENSG00000006740,ARHGAP44,0.000146637,3.3
ENSG00000006744,ELAC2,0.244313836,-0.4
ENSG00000006747,SCIN,0.212716015,1.4
ENSG00000006756,ARSD,9.7e-06,4.9
ENSG00000006757,PNPLA4,0.090198774,1.3
ENSG00000006788,MYH13,0.018773183,3
ENSG00000006831,ADIPOR2,0.838469421,-0.1
ENSG00000006837,CDKL3,0.747712988,-0.3
ENSG00000007001,UPP2,1,0
ENSG00000007038,PRSS21,1,0
ENSG00000007047,MARK4,0.01927445,-0.8
ENSG00000007062,PROM1,1,0.8
ENSG00000007080,CCDC124,0.286748593,-0.5
ENSG00000007129,CEACAM21,1,0
ENSG00000007168,PAFAH1B1,0.916978067,0.1
ENSG00000007171,NOS2,1,0.4
ENSG00000007174,DNAH9,1,0.2
ENSG00000007202,KIAA0100,0.660203023,-0.2
ENSG00000007216,SLC13A2,1,0.4
ENSG00000007237,AC005747.1,2.55e-27,8.1
ENSG00000007255,TRAPPC6A,0.735051171,0.3
ENSG00000007264,MATK,0.016452253,3.1
ENSG00000007306,CEACAM7,1,0.2
ENSG00000007312,CD79B,1,0.2
ENSG00000007314,SCN4A,0.184152298,1.9
ENSG00000007341,ST7L,0.016503878,0.7
ENSG00000007350,TKTL1,1,0.4
ENSG00000007372,PAX6,1.06e-05,2.6
ENSG00000007376,RPUSD1,0.894766942,0.1
ENSG00000007384,RHBDF1,0.000210618,1.3
ENSG00000007392,LUC7L,0.124568784,-0.5
ENSG00000007402,CACNA2D2,0.183315229,1.6
ENSG00000007516,BAIAP3,0.216859922,1.1
ENSG00000007520,TSR3,0.445202699,0.4
ENSG00000007541,PIGQ,0.814484366,0.1
ENSG00000007545,CRAMP1,0.922734448,0
ENSG00000007866,TEAD3,0.073262251,0.5
ENSG00000007908,SELE,1,0.4
ENSG00000007923,DNAJC11,0.041622036,-0.6
ENSG00000007933,FMO3,1,-0.7
ENSG00000007944,MYLIP,1.53e-08,3.1
ENSG00000007952,NOX1,0.459121438,0.7
ENSG00000007968,E2F2,0.863122112,-0.1
ENSG00000008018,PSMB1,0.027513845,0.5
ENSG00000008056,SYN1,0.003172053,3.3
ENSG00000008083,JARID2,0.612922023,-0.3
ENSG00000008086,CDKL5,0.513606327,-0.3
ENSG00000008118,CAMK1G,0.487429783,-0.7
ENSG00000008128,CDK11A,0.680480311,0.4
ENSG00000008130,NADK,0.212527491,-0.6
ENSG00000008196,TFAP2B,0.221567637,-1.7
ENSG00000008197,TFAP2D,1,0
ENSG00000008226,DLEC1,0.11269233,1.9
ENSG00000008256,CYTH3,0.343605927,-0.4
ENSG00000008277,ADAM22,0.218701308,1.4
ENSG00000008282,SYPL1,0.099911569,-0.4
ENSG00000008283,CYB561,0.036991771,2.6
ENSG00000008294,SPAG9,0.53830589,0.2
ENSG00000008300,CELSR3,7.66e-05,-1.9
ENSG00000008311,AASS,2.23e-13,5.6
ENSG00000008323,PLEKHG6,0.542818814,0.9
ENSG00000008324,SS18L2,0.172035828,-0.5
ENSG00000008382,MPND,0.29358696,-0.5
ENSG00000008394,MGST1,0.988774861,0
ENSG00000008405,CRY1,0.001041614,1
ENSG00000008438,PGLYRP1,1,-0.6
ENSG00000008441,NFIX,0.020967162,-0.7
ENSG00000008513,ST3GAL1,0.978135347,0
ENSG00000008516,MMP25,0.049105027,-1.4
ENSG00000008517,IL32,2.72e-26,3.2
ENSG00000008710,PKD1,0.491199074,0.4
ENSG00000008735,MAPK8IP2,3.52e-05,2.9
ENSG00000008838,MED24,0.908644717,0
ENSG00000008853,RHOBTB2,0.608939823,0.2
ENSG00000008869,HEATR5B,0.648396795,-0.2
ENSG00000008952,SEC62,0.928508868,0
ENSG00000008988,RPS20,2.88e-07,-1.1
ENSG00000009307,CSDE1,0.660093211,-0.1
ENSG00000009335,UBE3C,0.00036254,-0.7
ENSG00000009413,REV3L,0.200395804,0.5
ENSG00000009694,TENM1,0.170725935,-1.7
ENSG00000009709,PAX7,1,0
ENSG00000009724,MASP2,0.844639736,0.2
ENSG00000009765,IYD,1,0
ENSG00000009780,FAM76A,0.035178147,-0.7
ENSG00000009790,TRAF3IP3,1,-0.8
ENSG00000009830,POMT2,0.414806466,0.2
ENSG00000009844,VTA1,0.957137857,0
ENSG00000009950,MLXIPL,0.00224821,3.7
ENSG00000009954,BAZ1B,0.024789787,-0.5
ENSG00000010017,RANBP9,0.15066346,0.4
ENSG00000010030,ETV7,0.000224896,4
ENSG00000010072,SPRTN,0.701920125,0.2
ENSG00000010165,EEF1AKNMT,0.727103069,-0.1
ENSG00000010219,DYRK4,0.617716819,0.2
ENSG00000010244,ZNF207,0.767807675,-0.1
ENSG00000010256,UQCRC1,0.779866263,-0.1
ENSG00000010270,STARD3NL,0.314341383,0.3
ENSG00000010278,CD9,0.040119112,2.4
ENSG00000010282,HHATL,1,0.2
ENSG00000010292,NCAPD2,0.013661111,-0.8
ENSG00000010295,IFFO1,0.000687139,1.1
ENSG00000010310,GIPR,0.041932378,2.5
ENSG00000010318,PHF7,0.35844733,0.5
ENSG00000010319,SEMA3G,0.544854695,0.9
ENSG00000010322,NISCH,0.177662892,0.4
ENSG00000010327,STAB1,0.247323179,1.7
ENSG00000010361,FUZ,0.000282161,1.9
